IV,Moderator,Outcome,N,Interaction_Beta,Interaction_p,Interaction_CI_Lower,Interaction_CI_Upper,Transform,Transform_Label,Cohens_f2,Analysis_Tag
iv3_health_behaviors_score,mo1_genai_composite_score,dv15_preventable_stays_rate,3064,2.524019690024808,0.012469446532759932,0.5440944554536709,4.503944924595945,,,,
iv3_health_behaviors_score,mo11_ai_staff_scheduling_pct,dv15_preventable_stays_rate,3064,0.03963824070371492,0.3951008890078427,-0.05171785121488771,0.13099433262231755,,,,
iv3_health_behaviors_score,mo12_ai_predict_staff_needs_pct,dv15_preventable_stays_rate,3064,0.09657761649283626,0.00875099504072153,0.024375006197476567,0.16878022678819596,,,,
iv3_health_behaviors_score,mo13_ai_predict_patient_demand_pct,dv15_preventable_stays_rate,3064,0.08929445026317273,0.003227625210999733,0.029870693088385525,0.14871820743795994,,,,
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv15_preventable_stays_rate,3064,0.0679349832599735,0.06564683949999582,-0.004396682522557052,0.14026664904250408,,,,
iv3_health_behaviors_score,mo15_ai_optimize_workflows_pct,dv15_preventable_stays_rate,3064,0.06442386547415756,0.012643729759590138,0.013787859140120005,0.1150598718081951,,,,
iv2_physical_environment_score,mo1_genai_composite_score,dv15_preventable_stays_rate,3064,-30.9119311906925,0.46284806660959676,-113.43596352599619,51.61210114461119,,,,
iv2_physical_environment_score,mo11_ai_staff_scheduling_pct,dv15_preventable_stays_rate,3064,-0.44418913981324293,0.7778916087976836,-3.530663603323336,2.64228532369685,,,,
iv2_physical_environment_score,mo12_ai_predict_staff_needs_pct,dv15_preventable_stays_rate,3064,-0.6022402664499973,0.7204519220232054,-3.9006981481328644,2.69621761523287,,,,
iv2_physical_environment_score,mo13_ai_predict_patient_demand_pct,dv15_preventable_stays_rate,3064,-0.4842969865031672,0.7680285828108371,-3.7024354428225807,2.7338414698162463,,,,
iv2_physical_environment_score,mo14_ai_automate_routine_tasks_pct,dv15_preventable_stays_rate,3064,-0.6873280124403107,0.6034415788894334,-3.280682695502925,1.9060266706223035,,,,
iv2_physical_environment_score,mo15_ai_optimize_workflows_pct,dv15_preventable_stays_rate,3064,-0.6348546784746363,0.6022999043996411,-3.0226917172806207,1.7529823603313481,,,,
mo1_genai_composite_score,mo2_robotics_composite_score,dv15_preventable_stays_rate,3064,5.379575184357044,0.07963023780146991,-0.6356916613277113,11.3948420300418,,,,
mo11_ai_staff_scheduling_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.015938793178665076,0.23874789343060865,-0.010577522892633737,0.04245510924996389,,,,
mo12_ai_predict_staff_needs_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.024209177478578727,0.06861178327138456,-0.0018479122524198421,0.050266267209577296,,,,
mo13_ai_predict_patient_demand_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.028949032365225363,0.03379486726676249,0.002216984173586116,0.05568108055686461,,,,
mo14_ai_automate_routine_tasks_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.0256505208822339,0.018547910043537407,0.004298127138839501,0.0470029146256283,,,,
mo15_ai_optimize_workflows_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.013077279498350379,0.19342569679375743,-0.00663111650416871,0.03278567550086947,,,,
iv3_health_behaviors_score,mo1_genai_composite_score,dv15_preventable_stays_rate,3064,2.524019690024808,0.012469446532759932,0.5440944554536709,4.503944924595945,,,,
iv3_health_behaviors_score,mo11_ai_staff_scheduling_pct,dv15_preventable_stays_rate,3064,0.03963824070371492,0.3951008890078427,-0.05171785121488771,0.13099433262231755,,,,
iv3_health_behaviors_score,mo12_ai_predict_staff_needs_pct,dv15_preventable_stays_rate,3064,0.09657761649283626,0.00875099504072153,0.024375006197476567,0.16878022678819596,,,,
iv3_health_behaviors_score,mo13_ai_predict_patient_demand_pct,dv15_preventable_stays_rate,3064,0.08929445026317273,0.003227625210999733,0.029870693088385525,0.14871820743795994,,,,
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv15_preventable_stays_rate,3064,0.0679349832599735,0.06564683949999582,-0.004396682522557052,0.14026664904250408,,,,
iv3_health_behaviors_score,mo15_ai_optimize_workflows_pct,dv15_preventable_stays_rate,3064,0.06442386547415756,0.012643729759590138,0.013787859140120005,0.1150598718081951,,,,
iv2_physical_environment_score,mo1_genai_composite_score,dv15_preventable_stays_rate,3064,-30.9119311906925,0.46284806660959676,-113.43596352599619,51.61210114461119,,,,
iv2_physical_environment_score,mo11_ai_staff_scheduling_pct,dv15_preventable_stays_rate,3064,-0.44418913981324293,0.7778916087976836,-3.530663603323336,2.64228532369685,,,,
iv2_physical_environment_score,mo12_ai_predict_staff_needs_pct,dv15_preventable_stays_rate,3064,-0.6022402664499973,0.7204519220232054,-3.9006981481328644,2.69621761523287,,,,
iv2_physical_environment_score,mo13_ai_predict_patient_demand_pct,dv15_preventable_stays_rate,3064,-0.4842969865031672,0.7680285828108371,-3.7024354428225807,2.7338414698162463,,,,
iv2_physical_environment_score,mo14_ai_automate_routine_tasks_pct,dv15_preventable_stays_rate,3064,-0.6873280124403107,0.6034415788894334,-3.280682695502925,1.9060266706223035,,,,
iv2_physical_environment_score,mo15_ai_optimize_workflows_pct,dv15_preventable_stays_rate,3064,-0.6348546784746363,0.6022999043996411,-3.0226917172806207,1.7529823603313481,,,,
mo1_genai_composite_score,mo2_robotics_composite_score,dv15_preventable_stays_rate,3064,5.379575184357044,0.07963023780146991,-0.6356916613277113,11.3948420300418,,,,
mo11_ai_staff_scheduling_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.015938793178665076,0.23874789343060865,-0.010577522892633737,0.04245510924996389,,,,
mo12_ai_predict_staff_needs_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.024209177478578727,0.06861178327138456,-0.0018479122524198421,0.050266267209577296,,,,
mo13_ai_predict_patient_demand_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.028949032365225363,0.03379486726676249,0.002216984173586116,0.05568108055686461,,,,
mo14_ai_automate_routine_tasks_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.0256505208822339,0.018547910043537407,0.004298127138839501,0.0470029146256283,,,,
mo15_ai_optimize_workflows_pct,mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,0.013077279498350379,0.19342569679375743,-0.00663111650416871,0.03278567550086947,,,,
mo1_genai_composite_score,mo2_robotics_composite_score,dv21_premature_death_ypll_rate,3079,-3.2679996889239327,0.5606101788301445,-14.274653402792476,7.73865402494461,,,,
mo11_ai_staff_scheduling_pct,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,3079,-0.003989507662703631,0.8823856929912931,-0.056841980654114055,0.04886296532870679,,,,
mo12_ai_predict_staff_needs_pct,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,3079,-0.014427890742972613,0.5466372495336976,-0.06133868891526498,0.03248290742931975,,,,
mo13_ai_predict_patient_demand_pct,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,3079,-0.04649745467315557,0.061004807010173696,-0.09514183821893796,0.0021469288726268312,,,,
mo14_ai_automate_routine_tasks_pct,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,3079,0.0013172170341114453,0.9633418057666833,-0.05485499761191682,0.05748943168013971,,,,
mo15_ai_optimize_workflows_pct,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,3079,-0.029935674334255424,0.11083111228473293,-0.06673341533356267,0.006862066665051826,,,,
iv3_health_behaviors_score,mo1_genai_composite_score,dv2_health_outcomes_score,3134,-3.950965480567453,0.007833547811451597,-6.863068031964591,-1.0388629291703144,raw,Raw,0.0032523119564401323,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv2_health_outcomes_score,3134,-0.15748025253225126,0.00228160534758455,-0.25864913838276815,-0.056311366681734365,raw,Raw,0.004710389618094484,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,3079,-0.32730621298457757,0.002007410261374669,-0.534972321233363,-0.11964010473579209,raw,Raw,0.005132644861826203,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,3130,0.05500722578276627,0.8601282714583832,-0.5568288867897889,0.6668433383553215,raw,Raw,4.992275764317714e-06,continuous_surface_target
iv3_health_behaviors_score,mo14_ai_automate_routine_tasks_pct,ct6_hospital_deaths_age_adj,3130,0.012898776230282495,0.20382734368165345,-0.00699631051711842,0.03279386297768341,raw,Raw,0.0003506284185818213,continuous_surface_target
