Treatment,Treatment_Label,Outcome,Outcome_Label,Outcome_Type,N,N_Treated,N_Control,ATE,CI_Lower,CI_Upper,p_value,Control_Mean,Relative_Change_Pct,Significant,ATE_YPLL_Equivalent,CI_Lower_YPLL_Equivalent,CI_Upper_YPLL_Equivalent
mo1_genai_composite_score,GenAI Composite,dv21_premature_death_ypll_rate,CHR YPLL (2020-22),DV21_CHR_YPLL,2898,567,2331,-291.99052905220015,-529.388000890075,-52.40972985544862,0.015968063872255488,10298.80826990495,-2.8351875420911687,Yes,,,
mo1_genai_composite_score,GenAI Composite,ct4_death_rate_per_100k,CDC Deaths (2023),CT4_CDC_2023,2762,560,2202,-0.5433649942672787,-6.259588988794592,5.257043017662757,0.8542914171656687,187.38796275333235,-0.289967928720446,No,-15.757584833751082,-181.52808067504316,152.45424751221995
mo1_genai_composite_score,GenAI Composite,ct5_ypll_per_100k_mid,CDC Age-Adj YPLL/100k <75 (2023),CT5_CDC_YPLL_2023,2896,567,2329,457.6682789307797,-454.72632560952576,1493.107993313231,0.5508982035928144,5997.3332995670735,7.631196334607869,No,,,
mo14_ai_automate_routine_tasks_pct,AI Routine Tasks (Primary),dv21_premature_death_ypll_rate,CHR YPLL (2020-22),DV21_CHR_YPLL,2898,414,2484,-457.51305393257644,-882.699672623618,-111.49902835219613,0.003992015968063872,10209.486469557512,-4.48125432456159,Yes,,,
mo14_ai_automate_routine_tasks_pct,AI Routine Tasks (Primary),ct4_death_rate_per_100k,CDC Deaths (2023),CT4_CDC_2023,2762,410,2352,-10.629238018111664,-17.428045410184954,-4.105927438035279,0.011976047904191617,185.70611639897552,-5.723687633031726,Yes,-308.24790252523826,-505.41331689536366,-119.07189570302307
mo14_ai_automate_routine_tasks_pct,AI Routine Tasks (Primary),ct5_ypll_per_100k_mid,CDC Age-Adj YPLL/100k <75 (2023),CT5_CDC_YPLL_2023,2896,414,2482,-376.00287951638074,-944.1710357082271,154.43897784117382,0.13972055888223553,5876.6705581986125,-6.39822967431473,No,,,
mo11_ai_staff_scheduling_pct,AI Staff Scheduling,dv21_premature_death_ypll_rate,CHR YPLL (2020-22),DV21_CHR_YPLL,2898,297,2601,-59.76130229606497,-310.9243904295595,155.7802663446271,0.6227544910179641,10096.984257575963,-0.591872788661871,No,,,
mo11_ai_staff_scheduling_pct,AI Staff Scheduling,ct4_death_rate_per_100k,CDC Deaths (2023),CT4_CDC_2023,2762,295,2467,-4.922330316175078,-13.44178097009634,3.005527807880299,0.2275449101796407,183.40988283431832,-2.6837868494914314,No,-142.74757916907726,-389.8116481327939,87.16030642852867
mo11_ai_staff_scheduling_pct,AI Staff Scheduling,ct5_ypll_per_100k_mid,CDC Age-Adj YPLL/100k <75 (2023),CT5_CDC_YPLL_2023,2896,297,2599,47.11072022749249,-655.8615211435293,643.5454062733091,1.0,5746.863863517597,0.8197639851286906,No,,,
mo12_ai_predict_staff_needs_pct,AI Predict Staff Needs,dv21_premature_death_ypll_rate,CHR YPLL (2020-22),DV21_CHR_YPLL,2898,317,2581,32.44737028377676,-234.5669467308563,280.63598442418044,0.8662674650698603,10116.685429581557,0.32073123662518427,No,,,
